midi_infile,rms_random,rms_corrected_random,rms_median,rms_corrected_median,rms_preds,rms_corrected_preds
midi_files/chopin/chpn-p14.mid,14.446987152621768,2.6631120702324025,24.50166927446012,2.9768693542165625,11.841114034026539,2.619934216643458
midi_files/rachmaninov/rac_op23_2_format0.mid,27.8466955270576,2.8433621158458537,17.570642407700674,2.6430519007870066,20.96159544267893,2.75135522674851
midi_files/rachmaninov/rac_op32_13_format0.mid,26.71180805664739,2.8252860703493985,18.74712851575427,2.791551292863818,20.757246345844358,2.754306972098739
midi_files/rachmaninov/rac_op23_7_format0.mid,25.252192545330725,2.827581890517329,14.301077228613327,2.6282620740346223,15.639085327354202,2.6522270286447136
midi_files/rachmaninov/rac_op33_8_format0.mid,26.032701790248357,2.8215687126136055,21.406453466186314,2.8070224438005478,22.40760891973974,2.7523853291281726
midi_files/rachmaninov/rac_op3_2_format0.mid,24.123504684453906,2.8202168690378753,17.177859022000096,2.7746262315197847,18.42090022820251,2.6950303163039004
midi_files/rachmaninov/rac_op33_6_format0.mid,24.43871075630979,2.8188708150803965,16.578109732024572,2.6693515266687564,19.58659675548759,2.7204978437937326
midi_files/rachmaninov/rac_op23_3_format0.mid,22.591299221945498,2.812011274409725,19.498795715624617,2.7794907703456064,17.083593722506997,2.703766358470327
midi_files/rachmaninov/rac_op32_1_format0.mid,25.819618642491953,2.8322165276780495,16.45143284010056,2.6861731230482375,18.38112290543088,2.7353472571057735
midi_files/rachmaninov/rac_op33_5_format0.mid,28.91473882316977,2.8464491436301347,15.648361323832349,2.6576077189605667,20.850686712039877,2.735914339435223
midi_files/rachmaninov/rac_op23_5_format0.mid,23.83350856538186,2.8140368545567096,18.320713322590272,2.6969435058050943,19.00506346194185,2.700326608350144
midi_files/liszt/liz_rhap09.mid,28.67641710680078,2.8341651008024966,17.783199072100658,2.7151678608124703,23.067499079689835,2.7729660678530195
midi_files/liszt/liz_et_trans8.mid,28.68125250000602,2.8380604695193496,18.66301244687311,2.763795864461619,22.308627331831023,2.780970717258413
midi_files/liszt/liz_donjuan.mid,27.755833602758806,2.8281756750184965,18.638607184924098,2.7527634881116114,23.078845106219354,2.7948065042550647
midi_files/liszt/liz_liebestraum.mid,24.223742992697705,2.8018985694026006,14.34889855809527,2.6660928054847655,18.311901635969534,2.7250894092002915
midi_files/liszt/liz_et2.mid,26.6627422156345,2.836184891432359,18.34100368643302,2.739095745432332,20.98408245878938,2.7666177934953584
midi_files/liszt/liz_et_trans5.mid,25.406426146339143,2.8141606408638538,12.832403114440838,2.5979137005656248,18.25522106547921,2.7195738569712957
midi_files/liszt/liz_et_trans4.mid,27.197453147026234,2.827651462549757,18.322908717406264,2.7180196667015273,21.671677808159256,2.764138448826261
midi_files/liszt/liz_et3.mid,29.77503529525997,2.8416417096772784,16.075826296638414,2.733011760284482,22.097862258808348,2.7569891879075956
midi_files/liszt/liz_rhap12.mid,29.627488358002815,2.843899970662667,18.406726837484666,2.785720640761698,25.354320007980572,2.789869510807201
midi_files/liszt/liz_rhap10.mid,27.86077199312777,2.8312352391929285,15.78595681784693,2.726583147408155,22.851662756539696,2.786581318528988
midi_files/liszt/liz_et1.mid,25.769029243980786,2.81483125147021,17.998126118274367,2.7269301972586146,18.966493030565132,2.72125932560621
midi_files/liszt/liz_rhap15.mid,30.09240907043836,2.8424984231639856,19.413253725295878,2.759873966682879,24.61445363908214,2.7945913108001297
midi_files/liszt/liz_et4.mid,17.514489213283802,2.7503174016930965,8.979686884090828,2.6019706755934138,12.49146356561845,2.613218439879288
midi_files/liszt/liz_et5.mid,25.02968329458652,2.812006509205617,13.869072855170806,2.673140958801967,20.081581080620616,2.729835513281097
midi_files/liszt/liz_rhap02.mid,29.442727224062185,2.8467385054379677,16.615073002775944,2.7605097719775293,22.601367647260357,2.768589669379782
midi_files/liszt/liz_et6.mid,26.266292291364962,2.824857210314251,16.94222817458981,2.748126234763935,21.53443349304646,2.7556519955431593
midi_files/burgm/burg_sylphen.mid,22.939013559434546,2.8212677393186345,17.470470770070143,2.7006244314395347,15.310146465508474,2.6240193564160315
midi_files/burgm/burg_quelle.mid,19.145595098068714,2.7671195624052354,11.49423719910276,2.345877024366988,13.150985913355452,2.559428187259785
midi_files/burgm/burg_perlen.mid,26.72753686016028,2.8259452818422965,15.72866340128278,2.721669415539736,23.208536675890933,2.76204600412414
midi_files/burgm/burg_erwachen.mid,21.191631258070515,2.7922605488915004,14.631956506651921,2.7589822184272443,16.13802360859101,2.681233986780855
midi_files/burgm/burg_spinnerlied.mid,28.003462518829313,2.8430693762658814,14.381116846028698,2.5472918270535696,18.762983910279072,2.6810121385321106
midi_files/burgm/burg_geschwindigkeit.mid,24.03193646537891,2.8147888186182386,15.355725365029148,2.7401628727143432,21.04838476134383,2.7437440906213415
midi_files/burgm/burg_gewitter.mid,21.97594945318477,2.787476326687755,26.054624284413347,2.9566036011560515,16.023193141399812,2.686942536448213
midi_files/burgm/burg_agitato.mid,21.375373224660596,2.782773937514337,11.340214726152793,2.4800022743630827,11.830272467318697,2.5364557004931196
midi_files/burgm/burg_trennung.mid,21.127181500738278,2.7912050601977265,15.67098645630713,2.4552882451908733,15.782175522410828,2.6209284719438397
midi_files/haydn/haydn_43_1.mid,18.11758156799996,2.7476628757263812,12.240436930399747,2.590699457644708,13.55091754544616,2.638366240648574
midi_files/haydn/haydn_43_2.mid,14.644788236270509,2.679640530515439,10.751413832993501,2.5983608852391593,12.049478861278706,2.600750915686427
midi_files/haydn/haydn_8_4.mid,17.351280044766703,2.7379211312987306,11.01193108689962,2.448458595718844,12.536059100761202,2.580521441315865
midi_files/haydn/haydn_43_3.mid,21.33484292532016,2.7739690303218363,10.816633693526388,2.665023811596494,13.64317866341315,2.641879939877045
midi_files/haydn/haydn_8_1.mid,21.428676669534212,2.7720668256333227,11.653457146157548,2.4924393331276216,15.92903436079526,2.6871930642496498
midi_files/haydn/haydn_8_3.mid,18.68278650597675,2.7114099996213246,12.871231667993657,2.5529280954357323,10.463321874584706,2.485422616255704
midi_files/haydn/haydn_8_2.mid,16.739639101288276,2.733886963836377,11.712651574112146,2.575748970420194,17.294557645049238,2.7748873851023217
midi_files/haydn/haydn_9_3.mid,15.217786556131749,2.7190587769320227,10.21333701414121,2.6539552107881486,13.891590426764685,2.6569321665314316
midi_files/haydn/hay_40_1.mid,18.303676035171378,2.749668720684507,11.9713959890436,2.574492210012876,14.385215001743555,2.6687353351303655
midi_files/haydn/haydn_9_2.mid,20.01162900989872,2.7532017662576203,12.180167058793568,2.602483817870795,16.55206529309891,2.7035791441194332
midi_files/haydn/hay_40_2.mid,21.189987834248146,2.792227927039051,11.487373079156969,2.5128242505765725,13.127191633139214,2.601073704373718
midi_files/haydn/haydn_9_1.mid,22.87607290072761,2.7893118699125434,13.053892018638136,2.563168430328884,14.61374190664275,2.5871225288949553
midi_files/haydn/haydn_7_3.mid,18.080049040367886,2.7291899442428775,12.894092106124331,2.494959790451922,14.644959008340443,2.6643847574686697
midi_files/haydn/haydn_7_2.mid,19.71196657945318,2.757109327255567,12.418578532074685,2.5781310764820002,16.26535048590958,2.6735800896088247
midi_files/haydn/haydn_7_1.mid,20.496336315828287,2.7519306912864407,11.573958775593182,2.516349699520454,10.212998382863843,2.486326242032244
midi_files/haydn/haydn_33_1.mid,21.20504465011601,2.784897097967855,12.012678557218852,2.60954424671896,13.20153475812024,2.6159976793428266
